repository,month,state
4am-robotics/cob_common,2012-11,Running
4am-robotics/cob_common,2012-12,Running
4am-robotics/cob_common,2013-01,Running
4am-robotics/cob_common,2013-02,Running
4am-robotics/cob_common,2013-03,Running
4am-robotics/cob_common,2013-04,Running
4am-robotics/cob_common,2013-05,Running
4am-robotics/cob_common,2013-06,Running
4am-robotics/cob_common,2013-07,Running
4am-robotics/cob_common,2013-08,Running
4am-robotics/cob_common,2013-09,Running
4am-robotics/cob_common,2013-10,Running
4am-robotics/cob_common,2013-11,Running
4am-robotics/cob_common,2013-12,Running
4am-robotics/cob_common,2014-01,Running
4am-robotics/cob_common,2014-02,Running
4am-robotics/cob_common,2014-03,Running
4am-robotics/cob_common,2014-04,Running
4am-robotics/cob_common,2014-05,Running
4am-robotics/cob_common,2014-06,Running
4am-robotics/cob_common,2014-07,Running
4am-robotics/cob_common,2014-08,Running
4am-robotics/cob_common,2014-09,Running
4am-robotics/cob_common,2014-10,Running
4am-robotics/cob_common,2014-11,Running
4am-robotics/cob_common,2014-12,Running
4am-robotics/cob_common,2015-01,Running
4am-robotics/cob_common,2015-02,Running
4am-robotics/cob_common,2015-03,Running
4am-robotics/cob_common,2015-04,Running
4am-robotics/cob_common,2015-05,Running
4am-robotics/cob_common,2015-06,Running
4am-robotics/cob_common,2015-07,Dead
4am-robotics/cob_common,2015-08,Running
4am-robotics/cob_common,2015-09,Running
4am-robotics/cob_common,2015-10,Running
4am-robotics/cob_common,2015-11,Running
4am-robotics/cob_common,2015-12,Running
4am-robotics/cob_common,2016-01,Running
4am-robotics/cob_common,2016-02,Running
4am-robotics/cob_common,2016-03,Running
4am-robotics/cob_common,2016-04,Running
4am-robotics/cob_common,2016-05,Running
4am-robotics/cob_common,2016-06,Running
4am-robotics/cob_common,2016-07,Running
4am-robotics/cob_common,2016-08,Running
4am-robotics/cob_common,2016-09,Running
4am-robotics/cob_common,2016-10,Running
4am-robotics/cob_common,2016-11,Running
4am-robotics/cob_common,2016-12,Running
4am-robotics/cob_common,2017-01,Running
4am-robotics/cob_common,2017-02,Running
4am-robotics/cob_common,2017-03,Running
4am-robotics/cob_common,2017-04,Running
4am-robotics/cob_common,2017-05,Running
4am-robotics/cob_common,2017-06,Zombie
4am-robotics/cob_common,2017-07,Running
4am-robotics/cob_common,2017-08,Running
4am-robotics/cob_common,2017-09,Running
4am-robotics/cob_common,2017-10,Running
4am-robotics/cob_common,2017-11,Running
4am-robotics/cob_common,2017-12,Zombie
4am-robotics/cob_common,2018-01,Running
4am-robotics/cob_common,2018-02,Running
4am-robotics/cob_common,2018-03,Zombie
4am-robotics/cob_common,2018-04,Running
4am-robotics/cob_common,2018-05,Dead
4am-robotics/cob_common,2018-06,Running
4am-robotics/cob_common,2018-07,Running
4am-robotics/cob_common,2018-08,Running
4am-robotics/cob_common,2018-09,Running
4am-robotics/cob_common,2018-10,Dead
4am-robotics/cob_common,2018-11,Running
4am-robotics/cob_common,2018-12,Dead
4am-robotics/cob_common,2019-01,Running
