repository,time_months,event,is_alive,first_month,last_activity_month,owner_type,has_readme,has_contributing,has_code_of_conduct,has_newcomer_labels,contributors_count,commits_count,stars,forks
jrl-umi3218/jrl-cmakemodules,187,0,True,2010-08,2026-03,Organization,True,False,False,False,33,1836,73,57
julianmueller/insight_gui,14,0,True,2025-01,2025-10,User,True,False,False,True,1,136,69,3
justagist/kinematics_interface_pinocchio,19,0,True,2024-08,2026-01,User,True,False,False,True,3,10,19,6
kobuki-base/kobuki_core,159,1,False,2012-02,2025-05,Organization,True,False,False,False,14,1391,20,16
kobuki-base/kobuki_ros,169,0,True,2012-02,2025-09,Organization,True,False,False,False,22,1413,84,43
kobuki-base/kobuki_ros_interfaces,116,1,False,2012-11,2022-07,Organization,True,False,False,False,6,71,8,6
kobuki-base/kobuki_velocity_smoother,74,0,True,2020-01,2026-02,Organization,True,False,False,False,3,31,23,12
koide3/fast_gicp,67,1,False,2020-01,2025-08,User,True,False,False,True,16,168,1593,365
koide3/ndt_omp,101,0,True,2017-10,2025-09,User,True,False,False,True,14,63,829,368
kroshu/kuka-external-control-sdk,26,0,True,2024-01,2026-03,Organization,True,False,False,True,8,131,14,15
kroshu/kuka_drivers,76,0,True,2019-11,2026-03,Organization,True,True,False,False,15,869,152,36
kroshu/kuka_robot_descriptions,45,0,True,2022-06,2026-02,Organization,True,True,False,True,14,199,74,34
lgsvl/lgsvl_msgs,24,1,False,2018-12,2020-12,Organization,True,False,False,True,5,27,9,22
locusrobotics/fuse,92,0,True,2018-07,2026-03,Organization,True,False,False,True,15,364,850,133
locusrobotics/tf2_2d,91,0,True,2018-08,2026-03,Organization,True,False,False,True,5,97,10,10
luxonis/depthai-core,72,0,True,2020-03,2026-03,Organization,True,False,False,True,82,12072,315,167
luxonis/depthai-ros,68,0,True,2020-07,2026-02,Organization,True,False,False,True,22,321,331,236
ma-shangao/at_sonde_ros_driver,11,0,True,2025-04,2026-02,User,True,True,False,True,2,27,2,0
marcosvcr/hokuyo_node2,1,1,False,2025-04,2025-05,User,True,False,False,True,1,17,0,0
mavlink/mavlink-gbp-release,141,0,True,2014-06,2025-09,Organization,True,False,False,False,10,1165,26,84
mavlink/mavros,147,0,True,2013-12,2026-02,Organization,True,True,False,False,153,3077,1124,1078
micro-ROS/micro_ros_diagnostics,54,1,False,2020-12,2025-06,Organization,True,True,False,True,3,104,10,8
micro-ROS/micro_ros_msgs,63,0,True,2020-12,2025-09,Organization,True,True,False,True,5,17,13,23
micro-ROS/system_modes,87,0,True,2018-12,2025-12,Organization,True,True,False,True,6,124,46,13
mikeferguson/grasping_msgs,123,1,False,2014-06,2024-09,User,True,False,False,False,2,15,1,6
mikeferguson/robot_calibration,136,0,True,2014-11,2026-02,User,True,False,False,False,9,313,449,127
mikeferguson/simple_grasping,132,0,True,2015-03,2026-01,User,True,False,False,False,2,35,61,37
modular-ml/wrapyfi_ros2_interfaces,1,1,False,2024-01,2024-01,Organization,True,False,False,True,1,13,1,0
moveit/geometric_shapes,163,0,True,2012-08,2026-01,Organization,True,True,False,False,44,407,59,95
moveit/moveit2,173,0,True,2011-10,2026-03,Organization,True,True,True,True,311,9458,1693,720
moveit/moveit_msgs,167,0,True,2012-04,2025-12,Organization,True,True,False,True,31,279,57,143
moveit/moveit_resources,159,0,True,2012-12,2026-01,Organization,True,False,False,False,30,178,98,140
moveit/moveit_task_constructor,109,0,True,2017-02,2026-03,Organization,True,False,False,False,35,1432,254,176
moveit/moveit_visual_tools,143,0,True,2014-04,2026-02,Organization,True,True,False,False,25,394,169,113
moveit/py_binding_tools,24,0,True,2024-03,2026-02,Organization,True,False,False,True,1,17,6,2
moveit/random_numbers,156,1,False,2012-06,2025-06,Organization,True,True,False,False,19,73,9,35
moveit/srdfdom,165,0,True,2012-06,2025-12,Organization,True,False,False,False,32,201,22,74
moveit/warehouse_ros,161,0,True,2012-10,2026-02,Organization,True,False,False,False,18,111,37,44
moveit/warehouse_ros_mongo,153,1,False,2012-10,2025-07,Organization,True,False,False,False,16,135,17,35
moveit/warehouse_ros_sqlite,65,0,True,2020-10,2026-02,Organization,True,True,False,True,6,69,16,12
mrpt-ros-pkg/mrpt_msgs,183,0,True,2010-12,2025-10,Organization,True,True,False,True,9,147,6,3
mrpt-ros-pkg/mrpt_navigation,183,0,True,2010-12,2026-02,Organization,True,False,False,False,18,851,208,101
mrpt-ros-pkg/mrpt_sensors,100,0,True,2017-11,2026-02,Organization,True,False,False,True,2,102,8,1
mrpt-ros-pkg/pose_cov_ops,127,1,False,2014-12,2025-07,Organization,True,True,False,False,5,135,17,6
namo-robotics/aruco_markers,14,0,True,2025-01,2026-01,Organization,True,False,False,True,1,35,4,2
naturerobots/move_base_flex,104,0,True,2017-07,2026-03,Organization,True,False,False,False,25,743,525,179
neobotix/neo_nav2_bringup,53,0,True,2021-10,2026-01,Organization,True,False,False,True,2,30,6,8
ngmor/catch_ros2,34,0,True,2023-05,2025-09,User,True,True,False,True,1,73,18,3
niwcpac/rqt_dotgraph,61,0,True,2021-02,2025-09,Organization,True,False,False,True,2,35,7,2
nlamprian/gazebo_video_monitors,45,1,False,2020-04,2024-01,User,True,False,False,True,2,41,28,4
nobleo/boost_sml_vendor,21,0,True,2024-06,2026-02,Organization,False,False,False,True,1,4,0,0
nobleo/nobleo_socketcan_bridge,23,0,True,2024-04,2026-02,Organization,True,False,False,True,5,34,9,3
nobleo/ros2_fmt_logger,8,0,True,2025-07,2026-02,Organization,True,False,False,True,2,61,41,0
nobleo/rviz_satellite,138,0,True,2014-09,2026-01,Organization,True,False,False,False,29,200,653,265
norlab-ulaval/libnabo,186,0,True,2010-09,2025-11,Organization,True,False,False,False,25,386,480,152
norlab-ulaval/libpointmatcher,182,0,True,2011-01,2025-10,Organization,True,False,False,False,63,1985,1791,566
novatel/novatel_oem7_driver,72,0,True,2020-03,2026-03,Organization,True,False,False,True,4,107,120,68
oKermorgant/simple_launch,69,0,True,2020-06,2026-02,User,True,False,False,True,4,178,95,9
oKermorgant/slider_publisher,62,1,False,2017-10,2022-12,User,True,False,False,True,1,48,18,9
ompl/ompl,212,0,True,2008-07,2026-03,Organization,True,False,False,False,98,5204,1967,671
open-navigation/opennav_docking,26,0,True,2024-01,2026-01,Organization,True,False,False,True,9,111,137,49
open-rmf/ament_cmake_catch2,70,1,False,2019-08,2025-06,Organization,True,False,False,True,7,21,2,3
open-rmf/menge_vendor,60,1,False,2020-06,2025-06,Organization,True,False,False,True,5,17,3,5
open-rmf/nlohmann_json_schema_validator_vendor,44,1,False,2021-10,2025-06,Organization,True,False,False,True,5,25,0,3
open-rmf/rmf_api_msgs,45,1,False,2021-09,2025-06,Organization,True,False,False,True,11,46,2,9
open-rmf/rmf_battery,70,1,False,2019-08,2025-06,Organization,True,False,False,True,12,64,4,7
open-rmf/rmf_building_map_msgs,67,1,False,2019-11,2025-06,Organization,True,False,False,True,7,28,2,4
open-rmf/rmf_cmake_uncrustify,22,1,False,2019-08,2021-06,Organization,True,False,False,True,5,13,0,1
open-rmf/rmf_demos,73,0,True,2020-02,2026-02,Organization,True,True,False,True,31,498,476,141
open-rmf/rmf_internal_msgs,71,1,False,2019-08,2025-07,Organization,True,True,False,True,16,170,14,28
open-rmf/rmf_ros2,79,0,True,2019-08,2026-03,Organization,True,True,False,True,29,630,104,89
open-rmf/rmf_simulation,64,0,True,2020-11,2026-03,Organization,True,True,False,True,14,110,18,24
open-rmf/rmf_task,79,0,True,2019-08,2026-02,Organization,True,False,False,True,14,134,26,25
open-rmf/rmf_traffic,79,0,True,2019-08,2026-02,Organization,True,True,False,True,18,520,33,33
open-rmf/rmf_traffic_editor,77,0,True,2019-10,2025-09,Organization,True,False,False,True,31,1025,160,75
open-rmf/rmf_utils,71,1,False,2019-08,2025-07,Organization,True,True,False,True,11,95,1,9
open-rmf/rmf_variants,12,1,False,2023-06,2024-06,Organization,True,False,False,True,1,8,0,0
open-rmf/rmf_visualization,76,0,True,2019-11,2026-01,Organization,True,False,False,True,16,305,26,20
open-rmf/rmf_visualization_msgs,67,1,False,2019-11,2025-06,Organization,False,False,False,True,5,19,2,4
open-rmf/stubborn_buddies,45,1,False,2021-04,2025-01,Organization,True,False,False,True,2,9,1,1
orbbec/OrbbecSDK_ROS2,45,0,True,2022-06,2026-03,Organization,True,False,False,True,10,1248,249,127
osrf/nodl_to_policy,49,1,False,2021-06,2025-07,Organization,True,True,False,True,3,44,0,1
osrf/osrf_pycommon,142,0,True,2014-05,2026-01,Organization,True,False,False,False,21,196,8,21
osrf/osrf_testing_tools_cpp,107,0,True,2017-04,2026-01,Organization,True,False,False,True,22,123,38,33
osrf/ros2launch_security,7,1,False,2021-01,2021-08,Organization,False,True,False,True,3,24,2,3
ouster-lidar/ouster-ros,94,0,True,2018-05,2026-03,Organization,True,False,False,True,19,174,184,221
p2p-industries/hyveos_ros,1,1,False,2025-01,2025-01,Organization,True,False,False,True,2,6,0,0
p2p-industries/hyveos_ros_msgs,1,1,False,2025-01,2025-01,Organization,True,False,False,True,1,7,0,0
pal-robotics/aruco_ros,145,0,True,2014-02,2025-12,Organization,True,False,False,False,19,196,572,339
pal-robotics/backward_ros,156,0,True,2013-03,2026-01,Organization,True,False,False,True,26,196,240,34
pal-robotics/hey5_description,110,1,False,2014-10,2023-12,Organization,True,True,False,False,6,92,3,2
pal-robotics/launch_pal,61,0,True,2021-02,2026-03,Organization,True,True,False,True,16,355,3,6
pal-robotics/mujoco_vendor,20,0,True,2024-07,2026-03,Organization,True,False,False,True,2,36,11,1
pal-robotics/omni_base_navigation,54,0,True,2021-09,2026-02,Organization,False,False,False,True,4,293,0,1
