repository,time_months,event,is_alive,first_month,last_activity_month,owner_type,has_readme,has_contributing,has_code_of_conduct,has_newcomer_labels,contributors_count,commits_count,stars,forks
pal-robotics/omni_base_robot,54,0,True,2021-09,2026-01,Organization,False,False,False,True,6,345,10,11
pal-robotics/omni_base_simulation,54,0,True,2021-09,2025-12,Organization,True,False,False,True,4,169,8,2
pal-robotics/pal_gazebo_plugins,155,0,True,2013-04,2026-01,Organization,True,True,False,False,9,175,2,22
pal-robotics/pal_gazebo_worlds,101,0,True,2017-10,2026-01,Organization,False,True,False,True,7,333,19,13
pal-robotics/pal_gripper,117,0,True,2016-06,2026-02,Organization,True,False,False,False,12,206,5,12
pal-robotics/pal_hey5,128,1,False,2014-10,2025-06,Organization,True,True,False,True,11,124,3,1
pal-robotics/pal_maps,23,0,True,2024-04,2025-12,Organization,False,True,False,True,0,45,1,2
pal-robotics/pal_navigation_cfg_public,53,1,False,2019-06,2023-11,Organization,False,False,False,True,8,142,0,6
pal-robotics/pal_pro_gripper,33,0,True,2023-06,2026-02,Organization,True,False,False,True,12,255,0,1
pal-robotics/pal_robotiq_gripper,25,1,False,2021-04,2023-05,Organization,False,False,False,True,5,155,3,2
pal-robotics/pal_sea_arm,39,0,True,2022-12,2026-02,Organization,False,False,False,True,13,480,1,1
pal-robotics/pal_sea_arm_moveit_config,19,1,False,2023-09,2025-04,Organization,True,True,False,True,7,52,0,2
pal-robotics/pal_sea_arm_simulation,30,0,True,2023-09,2025-10,Organization,True,False,False,True,7,37,0,0
pal-robotics/pal_statistics,105,0,True,2017-06,2026-02,Organization,True,False,False,True,9,337,66,15
pal-robotics/pal_urdf_utils,95,0,True,2018-04,2026-01,Organization,False,True,False,True,10,143,1,4
pal-robotics/play_motion2,41,0,True,2022-10,2026-02,Organization,True,False,False,True,8,407,31,10
pal-robotics/play_motion_builder,66,0,True,2020-09,2026-01,Organization,True,False,False,True,6,62,20,3
pal-robotics/pmb2_navigation,169,0,True,2012-02,2026-02,Organization,False,False,False,False,13,1020,4,5
pal-robotics/pmb2_robot,174,0,True,2011-09,2026-01,Organization,True,False,False,False,19,1009,23,24
pal-robotics/pmb2_simulation,174,0,True,2011-09,2025-12,Organization,True,True,False,False,14,549,8,4
pal-robotics/talos_moveit_config,100,1,False,2016-10,2025-02,Organization,False,False,False,True,5,54,1,1
pal-robotics/talos_robot,116,0,True,2016-07,2026-02,Organization,False,False,False,True,16,889,25,18
pal-robotics/talos_simulation,116,0,True,2016-07,2025-09,Organization,False,False,False,True,7,165,8,2
pal-robotics/tiago_moveit_config,136,0,True,2014-11,2026-01,Organization,True,True,False,False,14,291,6,17
pal-robotics/tiago_navigation,169,0,True,2012-02,2025-12,Organization,False,False,False,False,14,808,6,12
pal-robotics/tiago_pro_head_robot,17,0,True,2024-10,2025-12,Organization,False,False,False,True,8,110,0,1
pal-robotics/tiago_pro_head_simulation,17,0,True,2024-10,2025-10,Organization,False,False,False,True,3,18,1,0
pal-robotics/tiago_pro_moveit_config,39,0,True,2022-12,2026-02,Organization,False,True,False,True,12,135,0,3
pal-robotics/tiago_pro_navigation,25,0,True,2024-02,2025-12,Organization,False,False,False,True,2,131,0,0
pal-robotics/tiago_pro_robot,39,0,True,2022-12,2026-02,Organization,False,False,False,True,13,816,5,2
pal-robotics/tiago_pro_simulation,39,0,True,2022-12,2026-02,Organization,False,False,False,True,11,188,1,2
pal-robotics/tiago_robot,137,0,True,2014-10,2026-01,Organization,True,False,False,False,20,1495,64,48
pal-robotics/tiago_simulation,136,0,True,2014-11,2026-02,Organization,True,False,False,False,22,569,89,49
pal-robotics/urdf_test,104,0,True,2017-07,2026-03,Organization,True,True,False,True,4,48,1,0
pantor/ruckig,63,0,True,2020-12,2026-03,User,True,False,False,False,15,561,1141,233
polymathrobotics/replay_testing,16,0,True,2024-11,2026-02,Organization,True,False,False,True,5,65,26,3
pradyum/dual_laser_merger,16,0,True,2024-11,2026-03,User,True,True,False,True,1,64,18,11
qleonardolp/kinematic_pose_msgs,1,1,False,2025-06,2025-06,User,True,True,False,True,1,4,0,0
realsenseai/librealsense,128,0,True,2015-07,2026-03,Organization,True,True,True,False,303,21139,8543,4970
realsenseai/realsense-ros,120,0,True,2016-03,2026-03,Organization,True,True,False,False,92,2156,3222,1943
reductstore/reductstore_agent,11,0,True,2025-04,2026-02,Organization,True,True,False,True,4,318,12,1
rfzeg/wall_follower_ros2,17,1,False,2022-07,2023-12,User,True,False,False,True,1,18,3,2
roboception/rc_common_msgs_ros2,63,1,False,2020-03,2025-06,Organization,True,False,False,True,2,15,0,0
roboception/rc_dynamics_api,85,1,False,2017-02,2024-03,Organization,True,False,False,True,6,158,3,2
roboception/rc_genicam_api,109,0,True,2017-02,2026-01,Organization,True,False,False,False,7,435,136,45
roboception/rc_genicam_driver_ros2,62,0,True,2021-01,2026-02,Organization,True,False,False,True,4,63,6,1
roboception/rc_reason_clients_ros2,70,0,True,2020-05,2026-02,Organization,True,False,False,True,5,91,2,0
roboception/rcdiscover,86,1,False,2017-05,2024-07,Organization,True,False,False,False,4,260,12,8
robosoft-ai/SMACC2,66,0,True,2020-09,2026-02,Organization,True,True,False,True,8,477,342,48
robosoft-ai/ai_prompt_msgs,1,1,False,2024-06,2024-07,Organization,True,False,False,True,2,9,0,3
robosoft-ai/robosoft_openai,13,1,False,2024-06,2025-07,Organization,True,False,False,True,2,9,4,4
robotic-esp/canboat_vendor,3,1,False,2025-05,2025-08,Organization,True,False,False,True,1,36,1,0
robotont/robotont_driver,73,0,True,2020-02,2026-02,Organization,True,False,False,True,12,143,2,3
robotraconteur/robotraconteur,90,0,True,2018-09,2026-03,Organization,True,False,False,True,3,1169,75,11
robotraconteur/robotraconteur_companion,79,0,True,2019-08,2026-02,Organization,True,False,False,True,3,123,1,2
ros-acceleration/adaptive_component,42,1,False,2021-11,2025-05,Organization,True,False,False,True,2,15,12,6
ros-acceleration/ament_hardware_acceleration,12,1,False,2021-10,2022-10,Organization,True,False,False,True,1,4,0,2
ros-acceleration/ament_vitis,30,1,False,2021-02,2023-08,Organization,True,False,False,True,1,46,9,9
ros-acceleration/ros2acceleration,47,1,False,2021-08,2025-07,Organization,True,False,False,True,1,12,0,3
ros-acceleration/tracetools_acceleration,7,1,False,2021-10,2022-05,Organization,True,False,False,True,2,12,0,3
ros-acceleration/vitis_common,12,1,False,2021-09,2022-09,Organization,False,False,False,True,2,19,0,6
ros-controls/control_msgs,183,0,True,2010-12,2026-03,Organization,True,False,False,False,35,257,72,78
