repository,path,final_state,is_alive,first_month,last_activity_month,lifespan_months
AutonomyLab/libcreate,Running(1m)-Dead(1m)-Running(3m)-Zombie(1m)-Running(3m)-Zombie(1m)-Running(2m)-Dead(1m)-Zombie(2m)-Dead(8m)-Running(2m)-Dead(2m)-Running(2m)-Zombie(3m)-Dead(4m)-Running(1m)-Dead(1m)-Running(2m)-Dead(2m)-Running(4m)-Dead(2m)-Running(1m)-Zombie(1m)-Dead(5m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Dead(1m)-Running(2m)-Zombie(2m)-Running(3m)-Dead(7m)-Running(2m)-Dead(1m)-Running(1m)-Dead(1m)-Running(1m)-Dead(3m)-Zombie(1m)-Dead(4m)-Zombie(1m)-Dead(1m)-Running(1m)-Dead(11m)-Running(1m)-Zombie(1m)-Dead(5m)-Zombie(1m)-Dead(3m)-Running(1m)-Dead(11m),Dead,False,2015-12,2025-04,124
Barry-Xu-2018/ros2_service_load_balancing,Running(5m)-Dead(4m)-Running(1m)-Dead(4m)-Running(1m)-Dead(5m),Dead,True,2024-08,2025-10,20
Beam-and-Spyrosoft/rtest,Running(3m)-Dead(1m)-Running(4m)-Dead(2m)-Zombie(2m),Zombie,True,2025-04,2026-03,12
BerkeleyAutomation/FogROS2,Running(10m)-Zombie(7m)-Dead(1m)-Zombie(1m)-Dead(2m)-Zombie(1m)-Dead(1m)-Running(1m)-Zombie(1m)-Dead(1m)-Running(1m)-Dead(14m)-Zombie(1m)-Dead(8m),Dead,False,2022-02,2025-07,50
Boeing/gazebo_no_physics_plugin,Running(1m)-Dead(3m)-Running(1m)-Dead(1m)-Running(1m)-Dead(5m)-Running(1m)-Dead(1m)-Running(2m)-Zombie(1m)-Dead(15m)-Zombie(1m)-Dead(8m),Dead,False,2022-11,2025-07,41
Boeing/gazebo_planar_move_plugin,Running(2m)-Dead(5m)-Running(2m)-Dead(2m)-Running(1m)-Dead(3m)-Running(4m)-Dead(2m)-Running(4m)-Dead(7m)-Running(2m)-Dead(5m)-Running(1m)-Dead(6m)-Running(4m)-Dead(1m)-Running(1m)-Dead(2m)-Running(1m)-Dead(2m)-Running(1m)-Dead(6m)-Running(1m)-Dead(2m)-Running(1m)-Dead(1m)-Running(3m)-Dead(3m)-Running(1m)-Dead(1m)-Running(2m)-Dead(1m)-Running(1m)-Dead(23m),Dead,False,2017-08,2024-04,104
Boeing/gazebo_set_joint_positions_plugin,Running(2m)-Dead(5m)-Running(2m)-Dead(5m)-Running(1m)-Dead(2m)-Running(2m)-Dead(2m)-Running(3m)-Dead(10m)-Running(1m)-Dead(3m)-Running(2m)-Dead(6m)-Running(3m)-Dead(2m)-Running(1m)-Dead(3m)-Running(1m)-Dead(11m)-Running(1m)-Dead(1m)-Running(3m)-Dead(3m)-Running(3m)-Dead(2m)-Running(1m)-Dead(13m)-Zombie(1m)-Dead(9m),Dead,False,2017-08,2025-06,104
BruceChanJianLe/laser_scan_merger,Running(1m)-Dead(10m),Dead,False,2025-05,2025-05,11
CCNYRoboticsLab/imu_tools,Running(1m)-Dead(1m)-Running(4m)-Zombie(1m)-Dead(1m)-Running(1m)-Zombie(3m)-Running(2m)-Dead(1m)-Zombie(1m)-Running(4m)-Dead(1m)-Running(1m)-Zombie(1m)-Dead(3m)-Running(2m)-Dead(1m)-Running(5m)-Dead(1m)-Running(6m)-Dead(2m)-Running(1m)-Dead(1m)-Running(2m)-Dead(1m)-Zombie(3m)-Running(1m)-Dead(2m)-Running(1m)-Dead(1m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(1m)-Zombie(4m)-Running(1m)-Zombie(2m)-Dead(1m)-Running(2m)-Zombie(1m)-Running(1m)-Dead(3m)-Running(1m)-Zombie(2m)-Dead(2m)-Running(1m)-Dead(1m)-Zombie(1m)-Running(1m)-Dead(1m)-Running(2m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Running(2m)-Dead(1m)-Running(1m)-Zombie(1m)-Running(2m)-Zombie(2m)-Running(3m)-Zombie(1m)-Running(2m)-Dead(1m)-Running(1m)-Zombie(1m)-Dead(1m)-Zombie(3m)-Running(1m)-Zombie(5m)-Running(2m)-Zombie(1m)-Running(1m)-Zombie(2m)-Dead(1m)-Zombie(1m)-Running(1m)-Zombie(1m)-Dead(1m)-Zombie(7m)-Dead(1m)-Running(1m)-Zombie(2m)-Dead(2m)-Running(1m)-Zombie(2m)-Running(1m)-Zombie(1m)-Running(2m)-Dead(2m)-Zombie(1m)-Dead(2m)-Zombie(1m)-Running(1m)-Zombie(2m)-Dead(1m)-Zombie(3m)-Dead(1m)-Running(1m)-Zombie(1m)-Dead(1m),Dead,True,2012-06,2026-02,166
Chroma-CITI/namoros,Running(3m)-Dead(1m)-Running(2m)-Dead(5m),Dead,True,2025-05,2025-10,11
