repository,path,final_state,is_alive,first_month,last_activity_month,lifespan_months
ctu-vras/compass,Running(3m)-Dead(7m)-Running(2m)-Dead(16m)-Running(2m)-Dead(2m)-Zombie(1m)-Dead(7m)-Zombie(1m)-Running(1m)-Dead(2m),Dead,True,2022-08,2026-01,44
ctu-vras/cras_msgs,Running(1m)-Dead(17m)-Running(3m)-Dead(2m)-Running(1m)-Dead(22m)-Running(1m)-Dead(4m)-Running(2m)-Dead(2m),Dead,True,2021-09,2026-01,55
ctu-vras/ros-utils,Running(5m)-Dead(1m)-Running(1m)-Dead(2m)-Running(5m)-Dead(1m)-Running(5m)-Dead(3m)-Running(1m)-Dead(7m)-Running(1m)-Dead(1m)-Running(1m)-Dead(1m)-Running(19m)-Dead(1m)-Running(3m)-Dead(1m)-Running(2m)-Dead(3m)-Running(2m)-Dead(1m)-Running(6m)-Dead(1m)-Running(1m)-Dead(3m)-Running(7m)-Dead(1m),Dead,True,2019-02,2026-02,86
cubicleguy/ess_imu_driver2,Running(1m)-Dead(1m)-Running(1m)-Dead(8m)-Running(3m)-Dead(6m)-Zombie(1m)-Dead(8m),Dead,False,2023-11,2025-07,29
cyberbotics/webots_ros2,Running(37m)-Zombie(1m)-Running(15m)-Zombie(1m)-Running(9m)-Zombie(2m)-Running(4m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Running(1m)-Dead(1m)-Zombie(4m)-Dead(3m),Dead,True,2019-07,2025-12,81
damanikjosh/heightmap_spawner,Running(1m)-Dead(7m)-Zombie(1m)-Dead(6m),Dead,True,2025-01,2025-09,15
dfki-ric/better_launch,Running(1m)-Dead(1m)-Running(4m)-Dead(2m)-Running(9m)-Zombie(1m),Zombie,True,2024-10,2026-03,18
dtrugman/pfs,Running(2m)-Dead(1m)-Running(4m)-Dead(1m)-Running(4m)-Zombie(1m)-Dead(1m)-Running(1m)-Dead(4m)-Running(3m)-Dead(7m)-Running(2m)-Dead(1m)-Running(8m)-Zombie(1m)-Running(1m)-Dead(2m)-Running(4m)-Zombie(1m)-Running(3m)-Zombie(1m)-Running(1m)-Dead(1m)-Running(4m)-Dead(1m)-Running(1m)-Zombie(1m),Zombie,True,2021-02,2026-03,62
dynamixel-community/dynamixel_hardware,Running(2m)-Dead(1m)-Running(3m)-Dead(2m)-Running(2m)-Zombie(1m)-Running(1m)-Dead(5m)-Running(2m)-Dead(1m)-Running(4m)-Dead(1m)-Zombie(1m)-Running(1m)-Dead(1m)-Zombie(2m)-Running(1m)-Zombie(1m)-Dead(5m)-Zombie(2m)-Running(1m)-Zombie(4m)-Dead(3m)-Zombie(4m)-Dead(1m)-Zombie(3m)-Dead(4m)-Zombie(2m)-Dead(2m),Dead,True,2021-01,2026-01,63
eProsima/Fast-CDR,Running(15m)-Dead(2m)-Running(1m)-Dead(1m)-Running(8m)-Dead(1m)-Running(10m)-Dead(1m)-Running(3m)-Dead(1m)-Running(2m)-Dead(1m)-Zombie(1m)-Running(7m)-Dead(1m)-Zombie(1m)-Running(1m)-Dead(4m)-Running(9m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(6m)-Dead(1m)-Zombie(2m)-Running(7m)-Zombie(1m)-Dead(1m)-Running(1m)-Dead(1m)-Running(4m)-Dead(2m)-Running(1m)-Dead(1m)-Running(1m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(2m)-Dead(1m)-Zombie(1m)-Running(1m)-Dead(1m)-Zombie(4m)-Running(1m)-Zombie(2m)-Running(2m)-Zombie(1m)-Running(4m)-Zombie(2m)-Running(7m)-Zombie(1m)-Running(3m)-Zombie(1m)-Running(4m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(2m)-Zombie(1m)-Dead(1m)-Running(5m)-Zombie(1m)-Dead(1m),Dead,True,2013-02,2026-02,158
eProsima/Fast-DDS,Running(16m)-Dead(1m)-Running(128m)-Zombie(1m),Zombie,True,2014-02,2026-03,146
eProsima/foonathan_memory_vendor,Running(1m)-Dead(1m)-Zombie(1m)-Running(3m)-Zombie(1m)-Running(1m)-Dead(1m)-Running(2m)-Zombie(1m)-Running(4m)-Dead(1m)-Running(2m)-Dead(1m)-Zombie(2m)-Running(1m)-Dead(2m)-Running(1m)-Zombie(5m)-Running(1m)-Dead(2m)-Running(1m)-Dead(9m)-Running(4m)-Dead(1m)-Running(1m)-Dead(4m)-Running(1m)-Dead(4m)-Running(1m)-Dead(3m)-Zombie(1m)-Dead(2m)-Running(1m)-Dead(1m)-Zombie(1m)-Dead(3m)-Zombie(1m)-Dead(4m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Running(3m)-Dead(1m),Dead,True,2019-04,2026-02,84
eclipse-cyclonedds/cyclonedds,Running(1m)-Dead(1m)-Running(96m)-Zombie(1m),Zombie,True,2018-01,2026-03,99
eclipse-ecal/ecal,Running(1m)-Dead(2m)-Running(81m)-Zombie(1m),Zombie,True,2019-03,2026-03,85
eclipse-iceoryx/iceoryx,Running(71m)-Zombie(1m)-Running(2m)-Dead(1m)-Zombie(2m)-Dead(1m),Dead,True,2019-10,2026-02,78
eclipse-zenoh/zenoh-plugin-dds,Running(4m)-Dead(1m)-Running(62m),Running,True,2020-09,2026-03,67
enactic/openarm_ros2,Running(7m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(2m)-Zombie(1m)-Dead(1m),Dead,True,2025-02,2026-02,14
ethz-asl/grid_map_geo,Running(1m)-Dead(2m)-Running(8m)-Dead(6m)-Zombie(1m)-Running(5m)-Zombie(2m)-Dead(1m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Dead(2m)-Running(1m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Dead(9m)-Zombie(1m)-Running(1m)-Dead(2m),Dead,True,2022-04,2026-01,48
facontidavide/PlotJuggler,Running(21m)-Dead(1m)-Running(2m)-Zombie(1m)-Running(55m)-Zombie(1m)-Running(21m)-Zombie(2m)-Running(1m)-Zombie(1m)-Running(14m)-Zombie(1m),Zombie,True,2016-03,2026-03,121
facontidavide/cloudini,Running(8m)-Zombie(1m)-Running(1m)-Zombie(1m),Zombie,True,2025-05,2026-03,11
facontidavide/rosx_introspection,Running(1m)-Dead(11m)-Zombie(1m)-Dead(5m)-Running(1m)-Zombie(2m)-Running(4m)-Zombie(1m)-Dead(3m)-Running(1m)-Dead(2m)-Zombie(1m)-Dead(1m)-Zombie(2m)-Dead(1m)-Running(2m)-Dead(1m)-Running(3m)-Zombie(1m),Zombie,True,2022-08,2026-03,44
fawkesrobotics/protobuf_comm,Running(1m)-Dead(3m)-Running(1m)-Dead(8m)-Zombie(1m)-Dead(15m)-Running(1m)-Dead(4m)-Running(1m)-Dead(4m)-Running(1m)-Dead(1m)-Running(1m)-Dead(6m)-Running(1m)-Dead(9m),Dead,False,2021-06,2025-06,58
felixdivo/ros2-easy-test,Running(3m)-Dead(8m)-Running(5m)-Dead(6m)-Running(1m)-Dead(14m),Dead,False,2023-03,2025-01,37
fictionlab/ros_aruco_opencv,Running(1m)-Dead(1m)-Running(2m)-Dead(1m)-Running(1m)-Dead(1m)-Running(1m)-Dead(2m)-Running(2m)-Dead(6m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Running(3m)-Dead(5m)-Zombie(1m)-Dead(4m)-Running(1m)-Dead(6m)-Running(1m)-Dead(3m),Dead,True,2022-07,2025-12,45
fkie/async_web_server_cpp,Running(3m)-Dead(4m)-Running(1m)-Dead(1m)-Running(1m)-Dead(5m)-Running(2m)-Dead(28m)-Running(1m)-Dead(1m)-Running(2m)-Dead(1m)-Running(1m)-Dead(3m)-Running(1m)-Dead(3m)-Running(1m)-Dead(10m)-Running(1m)-Dead(4m)-Running(2m)-Zombie(1m)-Dead(5m)-Running(1m)-Dead(7m)-Zombie(1m)-Dead(38m)-Running(2m)-Dead(3m)-Running(1m)-Dead(2m),Dead,True,2014-11,2026-01,137
fkie/live555_vendor,Running(2m)-Dead(1m)-Running(1m)-Dead(1m)-Running(4m)-Dead(3m),Dead,True,2025-04,2025-12,12
fkie/message_filters,Running(2m)-Dead(3m)-Running(1m)-Dead(3m)-Running(1m)-Dead(10m)-Running(2m)-Dead(10m)-Zombie(1m)-Running(1m)-Dead(19m)-Zombie(1m)-Dead(21m)-Running(4m)-Zombie(1m)-Dead(2m)-Running(1m)-Zombie(1m)-Running(3m)-Dead(1m),Dead,True,2018-12,2026-02,88
fkie/potree_rviz_plugin,Running(1m)-Dead(1m)-Running(2m)-Dead(9m)-Running(1m)-Dead(9m)-Running(1m)-Dead(1m)-Running(2m)-Dead(4m)-Zombie(1m)-Dead(21m)-Running(1m)-Dead(2m)-Running(1m)-Dead(17m)-Zombie(1m)-Dead(2m)-Running(1m)-Dead(5m)-Zombie(1m)-Dead(3m)-Running(1m)-Dead(1m),Dead,True,2018-11,2026-02,89
fkie/rtsp_image_transport,Running(1m)-Dead(7m)-Running(2m)-Dead(32m)-Zombie(1m)-Running(2m)-Dead(8m),Dead,False,2021-11,2025-07,53
flynneva/bno055,Running(1m)-Dead(16m)-Running(3m)-Dead(7m)-Running(2m)-Dead(1m)-Running(2m)-Dead(2m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Dead(1m)-Running(2m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(2m)-Dead(2m)-Zombie(1m)-Dead(3m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(1m)-Zombie(2m)-Dead(1m)-Zombie(2m)-Dead(4m)-Zombie(3m)-Dead(3m)-Zombie(2m)-Dead(1m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Dead(1m)-Zombie(2m)-Dead(1m),Dead,True,2019-08,2026-02,80
flynneva/grbl_msgs,Running(2m)-Dead(4m)-Zombie(1m)-Dead(60m),Dead,False,2020-09,2021-03,67
flynneva/grbl_ros,Running(6m)-Dead(2m)-Running(1m)-Dead(1m)-Zombie(1m)-Dead(4m)-Zombie(1m)-Running(1m)-Zombie(1m)-Dead(1m)-Running(1m)-Dead(2m)-Zombie(1m)-Dead(3m)-Zombie(1m)-Dead(1m)-Running(1m)-Dead(3m)-Zombie(1m)-Dead(1m)-Running(1m)-Dead(15m)-Zombie(1m)-Dead(2m)-Zombie(2m)-Dead(7m)-Zombie(1m)-Dead(6m),Dead,True,2020-07,2025-09,69
flynneva/udp_msgs,Running(1m)-Dead(4m)-Running(1m)-Dead(4m)-Zombie(1m)-Dead(23m)-Running(2m)-Zombie(1m)-Dead(1m)-Running(1m)-Dead(5m)-Zombie(1m)-Running(1m)-Dead(20m),Dead,False,2020-10,2024-07,66
fmrico/cascade_lifecycle,Running(1m)-Dead(3m)-Running(1m)-Dead(6m)-Zombie(1m)-Running(1m)-Dead(2m)-Running(2m)-Dead(9m)-Running(1m)-Dead(6m)-Running(1m)-Dead(6m)-Running(1m)-Dead(3m)-Running(1m)-Dead(2m)-Running(5m)-Dead(3m)-Running(3m)-Dead(4m)-Running(2m)-Dead(6m)-Zombie(1m)-Dead(2m),Dead,True,2020-03,2026-01,73
fmrico/popf,Running(1m)-Dead(16m)-Zombie(2m)-Dead(15m)-Zombie(1m)-Dead(8m)-Running(3m)-Dead(5m)-Running(1m)-Dead(1m)-Zombie(1m)-Dead(2m)-Running(1m)-Dead(6m)-Running(1m)-Dead(6m)-Zombie(1m)-Dead(2m)-Running(1m)-Dead(6m)-Zombie(1m)-Dead(6m)-Running(1m)-Dead(3m)-Running(1m)-Dead(1m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Dead(14m)-Running(1m)-Dead(7m)-Running(1m)-Dead(1m),Dead,True,2016-04,2026-02,120
fmrico/yaets,Running(3m)-Zombie(1m)-Dead(4m)-Running(3m)-Dead(1m)-Running(4m)-Dead(1m)-Zombie(1m)-Dead(1m),Dead,True,2024-09,2026-02,19
foxglove/foxglove-sdk,Running(3m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(7m)-Zombie(1m)-Running(11m)-Dead(1m)-Running(1m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(1m)-Dead(3m)-Running(16m)-Zombie(1m),Zombie,True,2021-11,2026-03,53
frankarobotics/franka_description,Running(2m)-Dead(2m)-Running(6m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(12m)-Zombie(1m)-Dead(1m),Dead,True,2023-12,2026-02,28
frankarobotics/franka_ros2,Running(4m)-Zombie(5m)-Running(2m)-Zombie(1m)-Dead(2m)-Running(4m)-Zombie(1m)-Running(10m)-Zombie(2m)-Running(3m)-Zombie(1m)-Running(12m)-Zombie(1m)-Running(5m)-Zombie(2m),Zombie,True,2021-09,2026-03,55
frankarobotics/libfranka,Running(20m)-Zombie(1m)-Running(19m)-Zombie(1m)-Running(2m)-Zombie(2m)-Running(3m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(2m)-Zombie(4m)-Running(1m)-Zombie(1m)-Running(4m)-Zombie(1m)-Running(4m)-Zombie(7m)-Running(5m)-Zombie(1m)-Running(3m)-Zombie(1m)-Running(2m)-Zombie(2m)-Running(20m)-Zombie(1m),Zombie,True,2017-01,2026-03,111
fujitatomoya/rcl_logging_syslog,Running(7m)-Zombie(2m)-Running(2m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(1m)-Zombie(2m)-Running(2m)-Zombie(1m),Zombie,True,2024-08,2026-03,20
fujitatomoya/ros2_persist_parameter_server,Running(1m)-Zombie(1m)-Dead(3m)-Zombie(1m)-Dead(4m)-Running(2m)-Dead(24m)-Running(1m)-Dead(3m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Running(1m)-Dead(1m)-Zombie(1m)-Running(1m)-Dead(2m)-Running(1m)-Zombie(1m)-Dead(2m)-Running(1m)-Dead(1m)-Running(1m)-Dead(2m)-Running(5m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(3m)-Dead(1m)-Running(2m)-Zombie(1m)-Dead(1m),Dead,True,2019-11,2026-02,77
fujitatomoya/ros2ai,Running(3m)-Zombie(1m)-Running(4m)-Zombie(1m)-Running(6m)-Zombie(1m)-Dead(2m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(1m)-Dead(1m)-Running(5m)-Zombie(1m),Zombie,True,2023-11,2026-03,29
fzi-forschungszentrum-informatik/Lanelet2,Running(28m)-Zombie(1m)-Running(6m)-Zombie(6m)-Running(2m)-Zombie(5m)-Running(4m)-Zombie(1m)-Running(5m)-Zombie(4m)-Running(3m)-Zombie(4m)-Running(1m)-Zombie(2m)-Running(1m)-Zombie(3m)-Running(2m)-Zombie(3m)-Running(2m)-Dead(1m)-Zombie(2m)-Running(3m)-Dead(1m),Dead,True,2018-10,2026-02,90
gazebo-release/gz_cmake2_vendor,Running(2m)-Dead(4m)-Zombie(1m)-Running(1m)-Dead(2m)-Running(1m)-Dead(9m)-Running(1m)-Zombie(1m)-Running(1m)-Dead(8m)-Running(1m)-Dead(24m),Dead,False,2021-08,2024-03,56
gazebo-release/gz_cmake_vendor,Running(3m)-Dead(2m)-Running(2m)-Dead(1m)-Running(1m)-Dead(2m)-Running(1m)-Dead(1m)-Running(2m)-Dead(1m)-Zombie(1m)-Dead(1m)-Running(1m)-Dead(3m)-Running(2m)-Dead(1m),Dead,True,2024-03,2026-02,25
gazebo-release/gz_common_vendor,Running(3m)-Dead(2m)-Running(2m)-Zombie(1m)-Running(2m)-Dead(1m)-Running(1m)-Dead(2m)-Running(2m)-Dead(2m)-Running(2m)-Zombie(1m)-Dead(1m)-Running(2m)-Dead(1m),Dead,True,2024-03,2026-02,25
gazebo-release/gz_dartsim_vendor,Running(2m)-Zombie(1m)-Running(1m)-Dead(1m)-Running(1m)-Dead(2m)-Running(1m)-Dead(2m)-Zombie(1m)-Dead(13m),Dead,False,2024-03,2025-02,25
gazebo-release/gz_fuel_tools_vendor,Running(3m)-Dead(2m)-Running(2m)-Dead(4m)-Running(1m)-Dead(3m)-Running(1m)-Dead(2m)-Running(2m)-Dead(5m),Dead,True,2024-03,2025-10,25
gazebo-release/gz_gui_vendor,Running(2m)-Dead(2m)-Running(3m)-Dead(4m)-Running(1m)-Dead(6m)-Running(2m)-Zombie(1m)-Dead(4m),Dead,True,2024-03,2025-11,25
gazebo-release/gz_launch_vendor,Running(2m)-Dead(2m)-Running(3m)-Dead(4m)-Running(1m)-Dead(6m)-Running(2m)-Dead(5m),Dead,True,2024-03,2025-10,25
gazebo-release/gz_math6_vendor,Running(1m)-Dead(1m)-Running(1m)-Dead(3m)-Zombie(1m)-Running(1m)-Dead(2m)-Running(1m)-Dead(9m)-Running(1m)-Zombie(1m)-Running(1m)-Dead(8m)-Running(1m)-Zombie(1m)-Dead(3m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Dead(17m),Dead,False,2021-08,2024-10,56
gazebo-release/gz_math_vendor,Running(2m)-Dead(2m)-Running(3m)-Dead(1m)-Zombie(1m)-Running(1m)-Dead(1m)-Running(1m)-Dead(1m)-Running(2m)-Dead(1m)-Zombie(2m)-Running(1m)-Dead(1m)-Zombie(3m)-Dead(2m),Dead,True,2024-03,2026-01,25
gazebo-release/gz_msgs_vendor,Running(3m)-Dead(1m)-Running(4m)-Zombie(1m)-Dead(1m)-Running(1m)-Zombie(1m)-Dead(2m)-Running(1m)-Dead(3m)-Running(2m)-Dead(2m)-Running(1m)-Zombie(1m)-Dead(1m),Dead,True,2024-03,2026-02,25
gazebo-release/gz_ogre_next_vendor,Running(1m)-Dead(3m)-Running(3m)-Dead(2m)-Running(2m)-Dead(4m)-Zombie(1m)-Dead(2m)-Zombie(1m)-Dead(5m)-Running(1m)-Dead(2m)-Zombie(1m)-Dead(1m),Dead,True,2023-11,2026-02,29
gazebo-release/gz_physics_vendor,Running(2m)-Dead(2m)-Running(3m)-Dead(1m)-Zombie(1m)-Dead(2m)-Running(1m)-Dead(3m)-Running(1m)-Zombie(1m)-Dead(1m)-Running(2m)-Dead(2m)-Running(1m)-Dead(2m),Dead,True,2024-03,2026-01,25
gazebo-release/gz_plugin_vendor,Running(2m)-Dead(3m)-Running(2m)-Dead(4m)-Running(1m)-Dead(2m)-Running(1m)-Dead(3m)-Running(2m)-Dead(5m),Dead,True,2024-03,2025-10,25
gazebo-release/gz_rendering_vendor,Running(2m)-Dead(2m)-Running(3m)-Dead(1m)-Zombie(1m)-Dead(1m)-Running(1m)-Zombie(1m)-Dead(3m)-Running(1m)-Zombie(1m)-Dead(1m)-Running(2m)-Zombie(1m)-Dead(1m)-Running(1m)-Dead(2m),Dead,True,2024-03,2026-01,25
gazebo-release/gz_sensors_vendor,Running(3m)-Dead(1m)-Running(3m)-Dead(1m)-Zombie(1m)-Dead(2m)-Running(1m)-Dead(3m)-Running(1m)-Dead(2m)-Running(2m)-Dead(2m)-Running(1m)-Dead(2m),Dead,True,2024-03,2026-01,25
gazebo-release/gz_sim_vendor,Running(2m)-Zombie(1m)-Dead(1m)-Running(3m)-Dead(1m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Running(1m)-Dead(3m)-Zombie(2m)-Dead(1m)-Running(2m)-Dead(2m)-Running(2m)-Dead(1m),Dead,True,2024-03,2026-02,25
gazebo-release/gz_tools_vendor,Running(2m)-Dead(4m)-Running(2m)-Dead(3m)-Running(1m)-Dead(5m)-Zombie(1m)-Running(1m)-Dead(6m),Dead,True,2024-03,2025-09,25
gazebo-release/gz_transport_vendor,Running(2m)-Zombie(1m)-Running(4m)-Dead(4m)-Running(1m)-Dead(2m)-Running(1m)-Dead(3m)-Running(2m)-Dead(1m)-Zombie(1m)-Running(1m)-Dead(2m),Dead,True,2024-03,2026-01,25
gazebo-release/gz_utils_vendor,Running(2m)-Dead(3m)-Running(2m)-Dead(1m)-Zombie(1m)-Running(1m)-Dead(1m)-Running(1m)-Dead(1m)-Running(1m)-Dead(2m)-Zombie(2m)-Running(1m)-Dead(6m),Dead,True,2024-03,2025-09,25
gazebo-release/sdformat_vendor,Running(3m)-Dead(1m)-Running(3m)-Dead(1m)-Running(1m)-Dead(2m)-Running(1m)-Dead(2m)-Running(1m)-Dead(1m)-Zombie(2m)-Running(2m)-Zombie(2m)-Running(1m)-Zombie(1m)-Dead(1m),Dead,True,2024-03,2026-02,25
gazebosim/gz-rviz,Running(1m)-Zombie(1m)-Dead(1m)-Running(7m)-Zombie(3m)-Dead(1m)-Running(1m)-Dead(3m)-Running(1m)-Dead(1m)-Zombie(1m)-Dead(3m)-Zombie(1m)-Dead(1m)-Running(2m)-Dead(6m)-Zombie(1m)-Dead(4m)-Zombie(1m)-Dead(12m)-Zombie(1m)-Dead(21m),Dead,False,2020-02,2024-06,74
gazebosim/ros_gz,Running(1m)-Dead(1m)-Running(1m)-Dead(3m)-Running(2m)-Dead(1m)-Running(5m)-Zombie(1m)-Running(2m)-Dead(2m)-Running(2m)-Zombie(1m)-Running(5m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(6m)-Zombie(1m)-Running(24m)-Zombie(1m)-Running(28m)-Dead(1m),Dead,True,2018-08,2026-02,92
gstavrinos/doom_ros,Running(3m)-Dead(12m),Dead,False,2025-01,2025-03,15
gstavrinos/odom_to_tf_ros2,Running(2m)-Dead(1m)-Running(1m)-Dead(16m)-Running(1m)-Dead(6m)-Running(1m)-Dead(12m)-Running(1m)-Zombie(1m)-Running(1m)-Dead(3m)-Running(1m)-Dead(6m)-Zombie(1m)-Dead(1m)-Running(1m)-Dead(1m),Dead,True,2021-07,2026-02,57
hatchbed/asyncapi_gencpp,Running(3m)-Dead(2m)-Running(1m)-Dead(44m),Dead,False,2022-02,2022-07,50
hatchbed/hatchbed_common,Running(1m)-Dead(1m)-Running(1m)-Dead(24m)-Running(1m)-Dead(4m)-Running(2m)-Dead(1m)-Zombie(1m)-Dead(6m)-Running(1m)-Dead(1m),Dead,True,2022-08,2026-02,44
hatchbed/log_view,Running(2m)-Dead(2m)-Running(1m)-Dead(2m)-Zombie(1m)-Dead(12m)-Zombie(2m)-Running(1m)-Dead(21m)-Zombie(1m)-Dead(8m)-Zombie(1m)-Dead(2m)-Zombie(1m)-Dead(8m),Dead,False,2020-11,2025-07,65
hatchbed/opensw,Running(1m)-Dead(2m)-Running(1m)-Dead(41m),Dead,False,2022-07,2022-10,45
hatchbed/opensw_ros,Running(1m)-Zombie(1m)-Dead(1m)-Running(1m)-Dead(41m),Dead,False,2022-07,2022-10,45
hbanzhaf/steering_functions,Running(2m)-Dead(1m)-Running(5m)-Dead(4m)-Running(1m)-Dead(3m)-Zombie(1m)-Running(1m)-Zombie(3m)-Running(1m)-Zombie(2m)-Dead(12m)-Zombie(1m)-Dead(5m)-Running(1m)-Dead(1m)-Running(2m)-Dead(3m)-Zombie(2m)-Dead(2m)-Running(1m)-Zombie(1m)-Dead(3m)-Running(1m)-Dead(9m)-Zombie(1m)-Dead(2m)-Zombie(1m)-Running(3m)-Dead(2m)-Zombie(1m)-Running(2m)-Zombie(1m)-Dead(4m)-Zombie(1m)-Dead(12m)-Zombie(1m)-Dead(3m),Dead,True,2017-10,2025-12,102
husarion/husarion_components_description,Running(9m)-Dead(2m),Dead,True,2025-05,2026-01,11
husarion/husarion_ugv_ros,Running(1m)-Zombie(8m)-Running(26m)-Zombie(8m),Zombie,True,2022-09,2026-03,43
husarion/rosbot_ros,Running(2m)-Dead(1m)-Running(5m)-Dead(1m)-Running(2m)-Dead(1m)-Running(1m)-Dead(1m)-Running(2m)-Zombie(1m)-Dead(1m)-Running(1m)-Dead(2m)-Running(5m)-Zombie(2m)-Dead(2m)-Running(1m)-Dead(1m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(5m)-Dead(1m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(2m)-Dead(1m)-Running(1m)-Dead(1m)-Zombie(1m)-Dead(2m)-Running(9m)-Zombie(1m)-Running(8m)-Zombie(2m)-Running(1m)-Zombie(1m)-Running(3m)-Zombie(1m)-Running(6m)-Dead(1m)-Running(7m)-Dead(1m)-Running(2m),Running,True,2018-04,2026-03,96
iRobotEducation/create3_examples,Running(5m)-Dead(2m)-Running(3m)-Dead(1m)-Running(1m)-Zombie(4m)-Running(1m)-Zombie(3m)-Dead(2m)-Running(1m)-Dead(4m)-Zombie(2m)-Running(5m)-Zombie(1m)-Running(2m)-Zombie(2m)-Dead(4m)-Zombie(1m)-Dead(2m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Dead(6m),Dead,True,2021-09,2025-09,55
iRobotEducation/create3_sim,Running(13m)-Zombie(1m)-Running(1m)-Dead(1m)-Zombie(3m)-Running(1m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(1m)-Zombie(2m)-Running(1m)-Zombie(1m)-Dead(1m)-Zombie(2m)-Running(1m)-Zombie(4m)-Running(1m)-Zombie(1m)-Running(3m)-Zombie(5m)-Running(1m)-Zombie(1m)-Dead(1m)-Running(1m)-Dead(1m)-Zombie(2m)-Dead(5m),Dead,True,2021-06,2025-10,58
iRobotEducation/irobot_create_msgs,Running(6m)-Dead(1m)-Zombie(1m)-Dead(1m)-Running(1m)-Zombie(1m)-Running(1m)-Zombie(1m)-Dead(2m)-Zombie(2m)-Dead(9m)-Zombie(1m)-Dead(4m)-Running(2m)-Dead(21m),Dead,False,2021-10,2024-06,54
ijnek/nao_button_sim,Running(1m)-Dead(2m)-Running(1m)-Dead(12m)-Running(3m)-Dead(7m)-Running(1m)-Dead(9m)-Zombie(1m)-Dead(3m)-Running(1m)-Zombie(1m)-Dead(8m),Dead,False,2022-02,2025-07,50
ijnek/nao_interfaces,Running(5m)-Dead(4m)-Running(1m)-Dead(2m)-Running(2m)-Dead(12m)-Running(3m)-Dead(17m)-Zombie(1m)-Dead(3m)-Running(1m)-Dead(9m),Dead,False,2021-04,2025-06,60
ijnek/soccer_object_msgs,Running(4m)-Dead(4m)-Running(1m)-Dead(3m)-Running(1m)-Dead(1m)-Zombie(1m)-Dead(2m)-Running(1m)-Dead(7m)-Running(2m)-Dead(18m)-Zombie(1m)-Dead(3m)-Running(1m)-Dead(9m),Dead,False,2021-05,2025-06,59
ijnek/soccer_visualization,Running(2m)-Dead(4m)-Running(1m)-Dead(2m)-Zombie(1m)-Running(1m)-Dead(4m)-Running(1m)-Dead(7m)-Running(2m)-Dead(18m)-Zombie(1m)-Dead(3m)-Running(1m)-Dead(9m),Dead,False,2021-07,2025-06,57
ika-rwth-aachen/etsi_its_messages,Running(1m)-Dead(1m)-Running(2m)-Dead(2m)-Running(2m)-Dead(1m)-Running(32m)-Zombie(2m),Zombie,True,2022-09,2026-03,43
ika-rwth-aachen/message_tf_frame_transformer,Running(4m)-Dead(6m)-Zombie(2m)-Running(1m)-Dead(2m)-Running(1m)-Dead(11m)-Running(1m)-Dead(1m)-Running(1m)-Dead(7m),Dead,False,2023-03,2025-08,37
ika-rwth-aachen/mqtt_client,Running(5m)-Zombie(1m)-Dead(1m)-Running(3m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(6m)-Zombie(1m)-Running(3m)-Zombie(4m)-Running(1m)-Zombie(6m)-Dead(1m)-Running(3m)-Dead(1m)-Running(1m)-Dead(1m)-Running(1m)-Dead(1m)-Zombie(1m)-Dead(1m),Dead,True,2022-06,2026-02,46
