ros_distro,package,rosdistro_repo_key,repo_url,repo_url_type,github_owner,github_repo,resolved,resolved_via
kilted,rosbridge_library,rosbridge_suite,https://github.com/RobotWebTools/rosbridge_suite.git,source,RobotWebTools,rosbridge_suite,True,rosdistro_release_packages
kilted,rosbridge_msgs,rosbridge_suite,https://github.com/RobotWebTools/rosbridge_suite.git,source,RobotWebTools,rosbridge_suite,True,rosdistro_release_packages
kilted,rosbridge_server,rosbridge_suite,https://github.com/RobotWebTools/rosbridge_suite.git,source,RobotWebTools,rosbridge_suite,True,rosdistro_release_packages
kilted,rosbridge_suite,rosbridge_suite,https://github.com/RobotWebTools/rosbridge_suite.git,source,RobotWebTools,rosbridge_suite,True,rosdistro_release_packages
kilted,rosbridge_test_msgs,rosbridge_suite,https://github.com/RobotWebTools/rosbridge_suite.git,source,RobotWebTools,rosbridge_suite,True,rosdistro_release_packages
kilted,rosgraph_monitor,graph_monitor,https://github.com/ros-tooling/graph-monitor.git,source,ros-tooling,graph-monitor,True,rosdistro_release_packages
kilted,rosgraph_monitor_msgs,graph_monitor,https://github.com/ros-tooling/graph-monitor.git,source,ros-tooling,graph-monitor,True,rosdistro_release_packages
kilted,rosgraph_msgs,rcl_interfaces,https://github.com/ros2/rcl_interfaces.git,source,ros2,rcl_interfaces,True,rosdistro_release_packages
kilted,rosidl_adapter,rosidl,https://github.com/ros2/rosidl.git,source,ros2,rosidl,True,rosdistro_release_packages
kilted,rosidl_cli,rosidl,https://github.com/ros2/rosidl.git,source,ros2,rosidl,True,rosdistro_release_packages
kilted,rosidl_cmake,rosidl,https://github.com/ros2/rosidl.git,source,ros2,rosidl,True,rosdistro_release_packages
kilted,rosidl_core_generators,rosidl_core,https://github.com/ros2/rosidl_core.git,source,ros2,rosidl_core,True,rosdistro_release_packages
kilted,rosidl_core_runtime,rosidl_core,https://github.com/ros2/rosidl_core.git,source,ros2,rosidl_core,True,rosdistro_release_packages
kilted,rosidl_default_generators,rosidl_defaults,https://github.com/ros2/rosidl_defaults.git,source,ros2,rosidl_defaults,True,rosdistro_release_packages
kilted,rosidl_default_runtime,rosidl_defaults,https://github.com/ros2/rosidl_defaults.git,source,ros2,rosidl_defaults,True,rosdistro_release_packages
kilted,rosidl_dynamic_typesupport,rosidl_dynamic_typesupport,https://github.com/ros2/rosidl_dynamic_typesupport.git,source,ros2,rosidl_dynamic_typesupport,True,rosdistro_release_packages
kilted,rosidl_dynamic_typesupport_fastrtps,rosidl_dynamic_typesupport_fastrtps,https://github.com/ros2/rosidl_dynamic_typesupport_fastrtps.git,source,ros2,rosidl_dynamic_typesupport_fastrtps,True,rosdistro_release_packages
kilted,rosidl_generator_c,rosidl,https://github.com/ros2/rosidl.git,source,ros2,rosidl,True,rosdistro_release_packages
kilted,rosidl_generator_cpp,rosidl,https://github.com/ros2/rosidl.git,source,ros2,rosidl,True,rosdistro_release_packages
kilted,rosidl_generator_dds_idl,rosidl_dds,https://github.com/ros2/rosidl_dds.git,source,ros2,rosidl_dds,True,rosdistro_release_packages
kilted,rosidl_generator_py,rosidl_python,https://github.com/ros2/rosidl_python.git,source,ros2,rosidl_python,True,rosdistro_release_packages
kilted,rosidl_generator_rs,rosidl_rust,https://github.com/ros2-rust/rosidl_rust.git,source,ros2-rust,rosidl_rust,True,rosdistro_release_packages
kilted,rosidl_generator_type_description,rosidl,https://github.com/ros2/rosidl.git,source,ros2,rosidl,True,rosdistro_release_packages
kilted,rosidl_parser,rosidl,https://github.com/ros2/rosidl.git,source,ros2,rosidl,True,rosdistro_release_packages
kilted,rosidl_pycommon,rosidl,https://github.com/ros2/rosidl.git,source,ros2,rosidl,True,rosdistro_release_packages
kilted,rosidl_runtime_c,rosidl,https://github.com/ros2/rosidl.git,source,ros2,rosidl,True,rosdistro_release_packages
kilted,rosidl_runtime_cpp,rosidl,https://github.com/ros2/rosidl.git,source,ros2,rosidl,True,rosdistro_release_packages
kilted,rosidl_runtime_py,rosidl_runtime_py,https://github.com/ros2/rosidl_runtime_py.git,source,ros2,rosidl_runtime_py,True,rosdistro_release_packages
kilted,rosidl_typesupport_c,rosidl_typesupport,https://github.com/ros2/rosidl_typesupport.git,source,ros2,rosidl_typesupport,True,rosdistro_release_packages
kilted,rosidl_typesupport_cpp,rosidl_typesupport,https://github.com/ros2/rosidl_typesupport.git,source,ros2,rosidl_typesupport,True,rosdistro_release_packages
kilted,rosidl_typesupport_fastrtps_c,rosidl_typesupport_fastrtps,https://github.com/ros2/rosidl_typesupport_fastrtps.git,source,ros2,rosidl_typesupport_fastrtps,True,rosdistro_release_packages
kilted,rosidl_typesupport_fastrtps_cpp,rosidl_typesupport_fastrtps,https://github.com/ros2/rosidl_typesupport_fastrtps.git,source,ros2,rosidl_typesupport_fastrtps,True,rosdistro_release_packages
