full_name,ros_distro,n_packages_in_distro,repo_url
StefanFabian/qml_ros2_plugin,humble,1,https://github.com/StefanFabian/qml_ros2_plugin.git
SteveMacenski/nonpersistent_voxel_layer-release,humble,1,https://github.com/SteveMacenski/nonpersistent_voxel_layer-release.git
SteveMacenski/ros2_ouster_drivers,humble,2,https://github.com/SteveMacenski/ros2_ouster_drivers.git
SteveMacenski/slam_toolbox,humble,1,https://github.com/SteveMacenski/slam_toolbox.git
SteveMacenski/spatio_temporal_voxel_layer,humble,2,https://github.com/SteveMacenski/spatio_temporal_voxel_layer.git
THA-Embedded-Systems-Lab/soar_ros,humble,1,https://github.com/THA-Embedded-Systems-Lab/soar_ros.git
Tacha-S/sync_parameter_server,humble,1,https://github.com/Tacha-S/sync_parameter_server.git
Tanneguydv/tf_tree_terminal,humble,1,https://github.com/Tanneguydv/tf_tree_terminal.git
TechMagicKK/aandd_ekew_driver_py,humble,1,https://github.com/TechMagicKK/aandd_ekew_driver_py.git
TechMagicKK/weight_scale_interfaces,humble,1,https://github.com/TechMagicKK/weight_scale_interfaces.git
ToyotaResearchInstitute/gauges2,humble,1,https://github.com/ToyotaResearchInstitute/gauges2.git
UniversalRobots/Universal_Robots_Client_Library,humble,1,https://github.com/UniversalRobots/Universal_Robots_Client_Library.git
UniversalRobots/Universal_Robots_ROS2_Description,humble,1,https://github.com/UniversalRobots/Universal_Robots_ROS2_Description.git
UniversalRobots/Universal_Robots_ROS2_Driver,humble,7,https://github.com/UniversalRobots/Universal_Robots_ROS2_Driver.git
UniversalRobots/Universal_Robots_ROS2_GZ_Simulation,humble,1,https://github.com/UniversalRobots/Universal_Robots_ROS2_GZ_Simulation.git
UniversalRobots/urinterfaces,humble,1,https://github.com/UniversalRobots/urinterfaces.git
aerostack2/aerostack2,humble,28,https://github.com/aerostack2/aerostack2.git
aerostack2/as2_platform_crazyflie,humble,1,https://github.com/aerostack2/as2_platform_crazyflie.git
aerostack2/as2_platform_dji_osdk,humble,1,https://github.com/aerostack2/as2_platform_dji_osdk.git
aerostack2/as2_platform_dji_psdk,humble,1,https://github.com/aerostack2/as2_platform_dji_psdk.git
aerostack2/as2_platform_mavlink,humble,1,https://github.com/aerostack2/as2_platform_mavlink.git
aerostack2/as2_platform_pixhawk,humble,1,https://github.com/aerostack2/as2_platform_pixhawk.git
aerostack2/as2_platform_tello,humble,1,https://github.com/aerostack2/as2_platform_tello.git
ajtudela/laser_segmentation,humble,1,https://github.com/ajtudela/laser_segmentation.git
ajtudela/sicks300_ros2,humble,1,https://github.com/ajtudela/sicks300_ros2.git
ajtudela/slg_msgs,humble,1,https://github.com/ajtudela/slg_msgs.git
alliedvision/vimbax_ros2_driver,humble,5,https://github.com/alliedvision/vimbax_ros2_driver.git
alvinsunyixiao/vrpn_mocap,humble,1,https://github.com/alvinsunyixiao/vrpn_mocap.git
ament/ament_cmake,humble,23,https://github.com/ament/ament_cmake.git
ament/ament_index,humble,2,https://github.com/ament/ament_index.git
ament/ament_lint,humble,31,https://github.com/ament/ament_lint.git
ament/ament_package,humble,1,https://github.com/ament/ament_package.git
ament/google_benchmark_vendor,humble,1,https://github.com/ament/google_benchmark_vendor.git
ament/googletest,humble,2,https://github.com/ament/googletest.git
ament/uncrustify_vendor,humble,1,https://github.com/ament/uncrustify_vendor.git
analogdevicesinc/adi_3dtof_adtf31xx,humble,1,https://github.com/analogdevicesinc/adi_3dtof_adtf31xx.git
analogdevicesinc/adi_3dtof_image_stitching,humble,1,https://github.com/analogdevicesinc/adi_3dtof_image_stitching.git
analogdevicesinc/adi_tmc_coe_ros2,humble,1,https://github.com/analogdevicesinc/adi_tmc_coe_ros2.git
analogdevicesinc/iio_ros2,humble,1,https://github.com/analogdevicesinc/iio_ros2.git
analogdevicesinc/imu_ros2,humble,1,https://github.com/analogdevicesinc/imu_ros2.git
analogdevicesinc/libaditof,humble,1,https://github.com/analogdevicesinc/libaditof.git
analogdevicesinc/tmcl_ros2,humble,1,https://github.com/analogdevicesinc/tmcl_ros2.git
apl-ocean-engineering/marine_msgs,humble,2,https://github.com/apl-ocean-engineering/marine_msgs.git
astuff/astuff_sensor_msgs,humble,8,https://github.com/astuff/astuff_sensor_msgs.git
astuff/automotive_autonomy_msgs,humble,3,https://github.com/astuff/automotive_autonomy_msgs.git
astuff/avt_vimba_camera,humble,1,https://github.com/astuff/avt_vimba_camera.git
astuff/network_interface,humble,1,https://github.com/astuff/network_interface.git
aussierobots/ublox_dgnss,humble,6,https://github.com/aussierobots/ublox_dgnss.git
automatika-robotics/kompass,humble,2,https://github.com/automatika-robotics/kompass.git
automatika-robotics/ros-agents,humble,1,https://github.com/automatika-robotics/ros-agents.git
automatika-robotics/ros-sugar,humble,1,https://github.com/automatika-robotics/ros-sugar.git
autowarefoundation/agnocast,humble,6,https://github.com/autowarefoundation/agnocast.git
autowarefoundation/autoware_adapi_msgs,humble,2,https://github.com/autowarefoundation/autoware_adapi_msgs.git
autowarefoundation/autoware_cmake,humble,2,https://github.com/autowarefoundation/autoware_cmake.git
autowarefoundation/autoware_core,humble,69,https://github.com/autowarefoundation/autoware_core.git
autowarefoundation/autoware_internal_msgs,humble,6,https://github.com/autowarefoundation/autoware_internal_msgs.git
autowarefoundation/autoware_lanelet2_extension,humble,2,https://github.com/autowarefoundation/autoware_lanelet2_extension.git
autowarefoundation/autoware_msgs,humble,11,https://github.com/autowarefoundation/autoware_msgs.git
autowarefoundation/autoware_rviz_plugins,humble,6,https://github.com/autowarefoundation/autoware_rviz_plugins.git
autowarefoundation/autoware_utils,humble,12,https://github.com/autowarefoundation/autoware_utils.git
autowarefoundation/ros2_socketcan,humble,2,https://github.com/autowarefoundation/ros2_socketcan.git
autowarefoundation/tvm_vendor,humble,1,https://github.com/autowarefoundation/tvm_vendor.git
autowarefoundation/zmqpp_vendor,humble,1,https://github.com/autowarefoundation/zmqpp_vendor.git
aws-robotics/aws-robomaker-small-warehouse-world,humble,1,https://github.com/aws-robotics/aws-robomaker-small-warehouse-world.git
bdaiinstitute/proto2ros,humble,1,https://github.com/bdaiinstitute/proto2ros.git
bdaiinstitute/synchros2,humble,1,https://github.com/bdaiinstitute/synchros2.git
blackcoffeerobotics/bcr_arm,humble,5,https://github.com/blackcoffeerobotics/bcr_arm.git
blackcoffeerobotics/bcr_bot,humble,1,https://github.com/blackcoffeerobotics/bcr_bot.git
blackcoffeerobotics/vector_pursuit_controller,humble,1,https://github.com/blackcoffeerobotics/vector_pursuit_controller.git
bnbhat/bno08x_ros2_driver,humble,1,https://github.com/bnbhat/bno08x_ros2_driver.git
bob-ros2/bob_llm,humble,1,https://github.com/bob-ros2/bob_llm.git
borglab/gtsam,humble,1,https://github.com/borglab/gtsam.git
bosch-engineering/off_highway_sensor_drivers,humble,15,https://github.com/bosch-engineering/off_highway_sensor_drivers.git
boschglobal/locator_ros_bridge,humble,2,https://github.com/boschglobal/locator_ros_bridge.git
boschresearch/fmi_adapter,humble,2,https://github.com/boschresearch/fmi_adapter.git
boschresearch/fmilibrary_vendor,humble,1,https://github.com/boschresearch/fmilibrary_vendor.git
botsandus/ament_black,humble,2,https://github.com/botsandus/ament_black.git
brow1633/network_bridge,humble,1,https://github.com/brow1633/network_bridge.git
carologistics/clips_vendor,humble,1,https://github.com/carologistics/clips_vendor.git
chapulina/dolly,humble,4,https://github.com/chapulina/dolly.git
christianrauch/apriltag_msgs,humble,1,https://github.com/christianrauch/apriltag_msgs.git
christianrauch/apriltag_ros,humble,1,https://github.com/christianrauch/apriltag_ros.git
christianrauch/camera_ros,humble,1,https://github.com/christianrauch/camera_ros.git
clalancette/sophus,humble,1,https://github.com/clalancette/sophus.git
clearpath-gbp/clearpath_mecanum_drive_controller-release,humble,1,https://github.com/clearpath-gbp/clearpath_mecanum_drive_controller-release.git
clearpathrobotics/LMS1xx,humble,1,https://github.com/clearpathrobotics/LMS1xx.git
clearpathrobotics/clearpath_common,humble,10,https://github.com/clearpathrobotics/clearpath_common.git
clearpathrobotics/clearpath_config,humble,1,https://github.com/clearpathrobotics/clearpath_config.git
clearpathrobotics/clearpath_desktop,humble,3,https://github.com/clearpathrobotics/clearpath_desktop.git
clearpathrobotics/clearpath_msgs,humble,2,https://github.com/clearpathrobotics/clearpath_msgs.git
clearpathrobotics/clearpath_nav2_demos,humble,1,https://github.com/clearpathrobotics/clearpath_nav2_demos.git
clearpathrobotics/clearpath_simulator,humble,3,https://github.com/clearpathrobotics/clearpath_simulator.git
clearpathrobotics/ewellix_lift_common,humble,6,https://github.com/clearpathrobotics/ewellix_lift_common.git
clearpathrobotics/ptz_action_server,humble,1,https://github.com/clearpathrobotics/ptz_action_server.git
clearpathrobotics/puma_motor_driver,humble,3,https://github.com/clearpathrobotics/puma_motor_driver.git
clearpathrobotics/robot_upstart,humble,1,https://github.com/clearpathrobotics/robot_upstart.git
clearpathrobotics/simple-term-menu,humble,1,https://github.com/clearpathrobotics/simple-term-menu.git
clearpathrobotics/wireless,humble,2,https://github.com/clearpathrobotics/wireless.git
coal-library/coal,humble,1,https://github.com/coal-library/coal.git
cra-ros-pkg/robot_localization,humble,1,https://github.com/cra-ros-pkg/robot_localization.git
cubicleguy/ess_imu_driver2,humble,1,https://github.com/cubicleguy/ess_imu_driver2.git
cyberbotics/webots_ros2,humble,14,https://github.com/cyberbotics/webots_ros2.git
damanikjosh/heightmap_spawner,humble,1,https://github.com/damanikjosh/heightmap_spawner.git
danielcranston/crx_kinematics,humble,1,https://github.com/danielcranston/crx_kinematics.git
dfki-ric/better_launch,humble,1,https://github.com/dfki-ric/better_launch.git
dynamixel-community/dynamixel_hardware,humble,1,https://github.com/dynamixel-community/dynamixel_hardware.git
eProsima/Fast-DDS,humble,1,https://github.com/eProsima/Fast-DDS.git
eProsima/foonathan_memory_vendor,humble,1,https://github.com/eProsima/foonathan_memory_vendor.git
eclipse-cyclonedds/cyclonedds,humble,1,https://github.com/eclipse-cyclonedds/cyclonedds.git
eclipse-ecal/ecal,humble,1,https://github.com/eclipse-ecal/ecal.git
