full_name,repo_url,distros,n_distros,n_packages_total,resolved_via_breakdown
eclipse-iceoryx/iceoryx,https://github.com/eclipse-iceoryx/iceoryx.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
CCNYRoboticsLab/imu_tools,https://github.com/CCNYRoboticsLab/imu_tools.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
micro-ROS/system_modes,https://github.com/micro-ROS/system_modes.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
LeoRover/leo_common-ros2,https://github.com/LeoRover/leo_common-ros2.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
LeoRover/leo_robot-ros2,https://github.com/LeoRover/leo_robot-ros2.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
LeoRover/leo_simulator-ros2,https://github.com/LeoRover/leo_simulator-ros2.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
ros-sports/nao_lola,https://github.com/ros-sports/nao_lola.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:9
pal-robotics/omni_base_navigation,https://github.com/pal-robotics/omni_base_navigation.git,humble,1,4,rosdistro_release_packages:4
pal-robotics/omni_base_robot,https://github.com/pal-robotics/omni_base_robot.git,humble,1,4,rosdistro_release_packages:4
open-navigation/opennav_docking,https://github.com/open-navigation/opennav_docking.git,humble,1,4,rosdistro_release_packages:4
pal-robotics/pal_gripper,https://github.com/pal-robotics/pal_gripper.git,humble,1,4,rosdistro_release_packages:4
pal-robotics/pal_sea_arm,https://github.com/pal-robotics/pal_sea_arm.git,humble,1,4,rosdistro_release_packages:4
pal-robotics/pmb2_navigation,https://github.com/pal-robotics/pmb2_navigation.git,humble,1,4,rosdistro_release_packages:4
pal-robotics/pmb2_robot,https://github.com/pal-robotics/pmb2_robot.git,humble,1,4,rosdistro_release_packages:4
MetroRobots/polygon_ros,https://github.com/MetroRobots/polygon_ros.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
ros2/rcl,https://github.com/ros2/rcl.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
ros2/rclc,https://github.com/ros2/rclc.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
ros2/rclcpp,https://github.com/ros2/rclcpp.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
ros-sports/rcss3d_agent,https://github.com/ros-sports/rcss3d_agent.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:11
open-rmf/rmf_traffic_editor,https://github.com/open-rmf/rmf_traffic_editor.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
pal-robotics/tiago_navigation,https://github.com/pal-robotics/tiago_navigation.git,humble,1,4,rosdistro_release_packages:4
pal-robotics/tiago_robot,https://github.com/pal-robotics/tiago_robot.git,humble,1,4,rosdistro_release_packages:4
pal-robotics/tiago_pro_navigation,https://github.com/pal-robotics/tiago_pro_navigation.git,humble,1,4,rosdistro_release_packages:4
pal-robotics/tiago_pro_robot,https://github.com/pal-robotics/tiago_pro_robot.git,humble,1,4,rosdistro_release_packages:4
pal-robotics/tiago_pro_head_robot,https://github.com/pal-robotics/tiago_pro_head_robot.git,humble,1,4,rosdistro_release_packages:4
ROBOTIS-GIT/turtlebot3_autorace,https://github.com/ROBOTIS-GIT/turtlebot3_autorace.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:8;rosdistro_repo_key_name_match:1
ROBOTIS-GIT/turtlebot3_simulations,https://github.com/ROBOTIS-GIT/turtlebot3_simulations.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:10
turtlebot/turtlebot4,https://github.com/turtlebot/turtlebot4.git,humble|jazzy,2,4,rosdistro_release_packages:8
KumarRobotics/ublox,https://github.com/KumarRobotics/ublox.git,humble|jazzy|kilted,3,4,rosdistro_release_packages:12
