Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_language,owner_type,size,subscribers_count,watchers_count,languages,Number of pull requests open,Number of pull requests merged,Number of pull requests closed,Number of issues open,Number of issues closed,Average time to close a pull request (days),Average time to close an issue (days),Average number of commits per month,Average number of newcomers per month,Average number of forks per month,Average number of stars per month,Size of README (KB),Size of CONTRIBUTING (KB),Size of CODE_OF_CONDUCT (KB),Repository age (months),full_name,distros_present,exclusion_reasons
perception_pcl,ros-perception,PCL (Point Cloud Library) ROS interface stack,https://github.com/ros-perception/perception_pcl,1227,465,368,77,,,True,False,False,False,False,False,,68,468,2012-09-05T23:29:36Z,21,1467,0,code,Organization,1227,21,465,C++;Python;CMake,13,222,282,64,165,72.13,155.93,2.91,0.46,2.29,2.89,0.32,0.0,0.0,161,ros-perception/perception_pcl,humble|jazzy|kilted,
play_motion2,pal-robotics,A tool to play and handle pre-recorded motions in ROS 2,https://github.com/pal-robotics/play_motion2,414,31,10,4,manipulators;motion-executor;motion-planning;prerecorded-motion-execution;ros2;trajectory;waypoint-following,Apache-2.0,True,False,False,False,False,True,good first issue,8,407,2022-10-11T12:27:15Z,1,2,0,docs,Organization,414,7,31,C++;Python;CMake,2,0,1,2,2,258.7,39.11,11.0,0.27,0.27,0.84,5.76,0.0,0.0,37,pal-robotics/play_motion2,humble|jazzy|kilted,
play_motion_builder,pal-robotics,,https://github.com/pal-robotics/play_motion_builder,170,20,3,1,,Apache-2.0,True,False,False,False,False,True,good first issue,6,62,2020-09-01T15:24:45Z,45,5885,0,code,Organization,170,6,20,C++;JavaScript;CSS;HTML;CMake;Python,0,2,2,1,1,0.22,0.16,0.95,0.14,0.05,0.31,1.61,0.0,0.0,65,pal-robotics/play_motion_builder,humble|jazzy|kilted,
raspimouse_sim,rt-net,ROS package suite for Raspberry Pi Mouse Simulator,https://github.com/rt-net/raspimouse_sim,2356,46,29,2,gazebo;raspberry-pi-mouse;raspimouse-ros;ros,MIT,True,False,False,False,False,True,good first issue,4,107,2016-09-12T07:08:39Z,51,4604,0,config,Organization,2356,2,46,Python;C++;CMake,0,57,60,2,24,42.57,242.14,0.94,0.07,0.25,0.4,4.66,0.0,0.0,114,rt-net/raspimouse_sim,humble|jazzy,
raspimouse_slam_navigation_ros2,rt-net,ROS 2 SLAM and Navigation packages for Raspberry Pi Mouse,https://github.com/rt-net/raspimouse_slam_navigation_ros2,60,24,3,2,navigation;raspberry-pi-mouse;ros2;slam,Apache-2.0,True,False,False,False,False,True,good first issue,2,15,2021-11-19T08:26:15Z,1,3,0,docs,Organization,60,2,24,Python;CMake,2,11,13,0,4,4.95,64.9,0.27,0.07,0.05,0.44,6.41,0.0,0.0,55,rt-net/raspimouse_slam_navigation_ros2,humble|jazzy,
rcl_logging,ros2,Logging implementations for ROS 2.,https://github.com/ros2/rcl_logging,400,28,41,16,,Apache-2.0,True,True,False,False,False,True,good first issue,28,153,2018-10-16T16:09:33Z,1,37,0,other,Organization,400,20,28,C++;C;CMake,5,92,104,11,20,12.83,128.93,1.74,0.33,0.47,0.32,0.2,0.89,0.0,88,ros2/rcl_logging,humble|jazzy|kilted,
realsense-ros,IntelRealSense,ROS Wrapper for RealSense™ Cameras,https://github.com/realsenseai/realsense-ros,50724,3222,1943,113,,Apache-2.0,True,True,False,False,False,False,,92,2156,2016-09-13T20:28:13Z,1,1,0,docs,Organization,50724,50,3222,Python;C++;CMake;Shell;C,5,636,849,108,2486,48.05,62.64,17.82,1.02,16.06,26.63,73.83,2.97,0.0,121,realsenseai/realsense-ros,humble|jazzy|kilted,
rmw,ros2,The ROS Middleware (rmw) Interface.,https://github.com/ros2/rmw,854,113,78,26,hacktoberfest,Apache-2.0,True,True,False,False,False,True,good first issue,46,513,2014-07-31T00:54:12Z,1,202,0,other,Organization,854,34,113,C;C++;CMake,3,305,340,23,47,39.46,162.71,3.69,0.37,0.56,0.81,0.0,0.89,0.0,139,ros2/rmw,humble|jazzy|kilted,
rmw_connextdds,ros2,ROS 2 RMW layer for RTI Connext DDS Professional and RTI Connext DDS Micro.,https://github.com/ros2/rmw_connextdds,1595,61,37,28,rmw;ros;rti-connext-dds,Apache-2.0,True,False,False,False,False,True,good first issue,32,421,2020-10-21T06:18:54Z,41,17511,0,code,Organization,1595,25,61,C++;CMake;Shell;C,6,137,152,22,39,51.41,51.14,6.48,0.55,0.57,0.94,17.67,0.0,0.0,65,ros2/rmw_connextdds,humble|jazzy|kilted,
rmw_fastrtps,ros2,Implementation of the ROS Middleware (rmw) Interface using eProsima's Fast RTPS.,https://github.com/ros2/rmw_fastrtps,2385,192,133,64,,Apache-2.0,True,True,False,False,False,True,good first issue,74,712,2015-05-26T15:38:25Z,11,1182,0,code,Organization,2385,40,192,C++;CMake;C,6,516,588,58,209,28.39,215.95,5.48,0.63,1.02,1.48,21.76,0.89,0.0,130,ros2/rmw_fastrtps,humble|jazzy|kilted,
