Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_language,owner_type,size,subscribers_count,watchers_count,languages,Number of pull requests open,Number of pull requests merged,Number of pull requests closed,Number of issues open,Number of issues closed,Average time to close a pull request (days),Average time to close an issue (days),Average number of commits per month,Average number of newcomers per month,Average number of forks per month,Average number of stars per month,Size of README (KB),Size of CONTRIBUTING (KB),Size of CODE_OF_CONDUCT (KB),Repository age (months),full_name,distros_present,exclusion_reasons
object_recognition_msgs,wg-perception,The description of the ROS messages/actionlib server for object recognition,https://github.com/wg-perception/object_recognition_msgs,75,2,26,1,,,False,False,False,False,False,False,,3,103,2012-03-17T21:19:34Z,6,137,0,config,Organization,75,11,2,,0,4,6,1,8,115.84,67.78,0.61,0.03,0.15,0.01,0.0,0.0,0.0,168,wg-perception/object_recognition_msgs,humble|jazzy|kilted,no_programming_languages
olive-ros2-interfaces,olive-robotics,All ros2 interfaces for olive products,https://github.com/olive-robotics/olive-ros2-interfaces,342,0,0,0,,Apache-2.0,True,False,False,False,False,True,good first issue,1,11,2025-12-09T08:41:37Z,1,201,0,other,Organization,342,0,0,CMake,0,2,2,0,0,0.0,,3.67,0.67,0.0,0.0,0.29,0.0,0.0,3,olive-robotics/olive-ros2-interfaces,humble,created_recently_6mo
ompl-release,ros2-gbp,,https://github.com/ros2-gbp/ompl-release,35015,0,6,0,,,True,False,False,False,False,True,good first issue,11,220,2013-04-18T08:48:19Z,0,0,0,other,Organization,35015,3,0,,0,0,0,0,1,,28.54,4.49,0.27,0.12,0.0,35.15,0.0,0.0,49,ros2-gbp/ompl-release,humble,no_programming_languages
ortools_vendor-release,ros2-gbp,,https://github.com/ros2-gbp/ortools_vendor-release,353,0,4,0,,,True,False,False,False,False,True,good first issue,3,121,2024-04-09T14:39:15Z,0,0,0,other,Organization,353,4,0,,0,0,0,0,0,,,5.26,0.13,0.17,0.0,24.76,0.0,0.0,23,ros2-gbp/ortools_vendor-release,humble|jazzy|kilted,no_programming_languages
picknik_ament_copyright-release,ros2-gbp,,https://github.com/ros2-gbp/picknik_ament_copyright-release,146,0,5,0,,,True,False,False,False,False,True,good first issue,6,42,2021-08-12T22:17:37Z,1,1,0,config,Organization,146,7,0,,0,0,0,0,0,,,0.86,0.12,0.1,0.0,2.87,0.0,0.0,49,ros2-gbp/picknik_ament_copyright-release,humble|jazzy|kilted,no_programming_languages
pointcloud-to-ply,li9i,"Subscribe to a PointCloud2 topic, reconstruct a mesh, and save to .obj or .ply format",https://github.com/li9i/pointcloud-to-ply,1872,1,0,0,,BSD-3-Clause,True,False,False,False,False,True,good first issue,1,9,2025-11-29T17:33:35Z,9,342,0,code,User,1872,0,1,Python;CMake,0,0,0,0,0,,,2.25,0.25,0.0,0.25,0.61,0.0,0.0,4,li9i/pointcloud-to-ply,humble|jazzy,created_recently_6mo
pybind11_json_vendor,open-rmf,pybind11_json vendor package,https://github.com/open-rmf/pybind11_json_vendor,47,0,2,0,,Apache-2.0,True,False,False,False,False,True,good first issue,7,31,2022-01-12T00:50:42Z,1,2,0,docs,Organization,47,6,0,CMake,0,16,16,0,1,14.53,29.1,0.62,0.14,0.04,0.0,0.62,0.0,0.0,50,open-rmf/pybind11_json_vendor,humble|jazzy|kilted,archived
radar_msgs-release,ros2-gbp,Relase repo for https://github.com/ros-perception/radar_msgs,https://github.com/ros2-gbp/radar_msgs-release,185,2,5,0,,,True,False,False,False,False,True,good first issue,6,50,2021-03-09T20:03:50Z,1,1,0,config,Organization,185,8,2,,0,0,0,0,0,,,0.83,0.1,0.08,0.03,4.05,0.0,0.0,60,ros2-gbp/radar_msgs-release,humble|jazzy|kilted,no_programming_languages
rko_lio,PRBonn,A Robust Approach for LiDAR-Inertial Odometry Without Sensor-Specific Modelling,https://github.com/PRBonn/rko_lio,11325,466,39,5,imu;inertial;lidar;lidar-inertial-odometry;mapping;odometry;robotics;ros;ros2;slam,MIT,True,False,False,False,False,True,good first issue,6,94,2025-09-03T14:20:35Z,1,3,0,docs,Organization,11325,13,466,C++;Python;CMake;Makefile,2,84,88,3,20,1.14,8.61,15.67,1.0,6.5,77.67,4.66,0.0,0.0,6,PRBonn/rko_lio,humble|jazzy|kilted,created_recently_6mo
ros2tree,ishaanbhimwal,,https://github.com/ishaanbhimwal/ros2tree,642,29,2,3,,MIT,True,False,False,False,False,True,good first issue,1,14,2025-11-19T13:48:08Z,1,21,0,other,User,642,1,29,Python,1,0,1,2,0,2.44,,3.5,0.5,0.5,7.25,0.75,0.0,0.0,4,ishaanbhimwal/ros2tree,humble,created_recently_6mo
ros_industrial_cmake_boilerplate-release,ros2-gbp,,https://github.com/ros2-gbp/ros_industrial_cmake_boilerplate-release,418,0,5,0,,,True,False,False,False,False,True,good first issue,5,113,2021-01-06T04:24:14Z,0,0,0,other,Organization,418,3,0,,0,1,1,0,0,0.0,,2.63,0.14,0.12,0.0,26.14,0.0,0.0,43,ros2-gbp/ros_industrial_cmake_boilerplate-release,humble|jazzy|kilted,no_programming_languages
rosbag2_to_video,fictionlab,Tool to create a video from a rosbag2 recording,https://github.com/fictionlab/rosbag2_to_video,30,2,1,0,,Apache-2.0,True,True,False,False,False,True,good first issue,3,19,2022-07-20T14:50:50Z,10,463,0,code,Organization,30,1,2,Python,0,2,2,0,0,0.33,,1.0,0.16,0.05,0.11,0.62,0.62,0.0,19,fictionlab/rosbag2_to_video,humble|jazzy|kilted,is_fork
simple-term-menu,clearpathrobotics,A Python package which creates simple interactive menus on the command line.,https://github.com/clearpathrobotics/simple-term-menu,586,0,0,0,,MIT,True,False,False,False,False,True,good first issue,11,241,2019-08-14T14:19:39Z,1,0,0,config,Organization,586,0,0,Python;CMake,0,0,0,0,0,,,6.03,0.3,0.0,0.0,27.81,0.0,0.0,40,clearpathrobotics/simple-term-menu,humble|jazzy,is_fork
